Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,RC,Tribunal,ICE,Forme Juridique,URL,Capital
STE AMGALA, minoterie industrielle - production et distribution de farine de ble., Route Principale Ndeg1 Km 12.5 Sidi Bernoussi,Sidi Bernoussi (AR),33.610869 : -7.504093,36039,Tribunal de Casablanca,1533466000092.0,,societe-ste-amgala-58783, 43 000 000 
MAGHREB OXYGENE (MO ), production et commercialisation de gaz industriels," Immeuble Tafraouti, Km 7,5 Route De Rabat (ain Sebaa)",Ain-Sebaa (AR),33.609434 : -7.519515,101837,Tribunal de Casablanca,1534691000094.0,,societe-maghreb-oxygene-28553, 81 250 000 
AIRBUS ATLANTIC MAROC COMPOSITES, reparation et entretien aeronautique," Nouasseur, Aeroport International Mohammed V, 20240",Nouaceur (M),33.371898 : -7.543865,17739,Tribunal de Casablanca,1561640000068.0,,societe-stelia-aerospace-maroc-65883, 42 952 300 
LA CENTRALE DES TRAVAUX AFRICAINS (CENTRA), travaux publics - transport national et international de marchandises," 195, Boulevard Ibnou Sina",Casablanca,33.57292 : -7.66659,43371,Tribunal de Casablanca,1732983000028.0,,societe-la-centrale-des-travaux-africains-54526, 20 000 000 
MINOTERIE EL BASSATINE, minoterie, Rue Essaadiyine Quartier Industriel,Meknes (M),33.892528 : -5.526016,16467,Tribunal de Meknes,1670615000044.0,,societe-minoterie-el-bassatine-26954, 50 500 000 
GLOBAL ENERGY SERVICES SIEMSA MAROC, electricite industrielle moyenne et basse tension, Avenue Bouhtouri Residence Amana Appt 5 Et 6,Tanger-Medina (AR),35.777636 : -5.80914,34289,Tribunal de Tanger,80117000038.0,,societe-global-energy-services-siemsa-maroc-204219, 5 000 000 
FARAH MAGHREB, gestion des hotels - services et etudes hotelieres," 46, Av Des Forces Armees Royales",Casablanca,33.56853 : -7.56009,31975,Tribunal de Casablanca,1552166000077.0,,societe-farah-maghreb-59507, 2 889 360 896 
MELB, l'entreprise de tous travaux installations et fournitures concernant direct ou indirect la construction la batiment et la propriete immobiliere," P. K 374. 815 Route D'el Jadida,(par Lissasfa) Douar Ouled Azzouz",Bouskoura,33.3611111 : -7.611388900000065,32901,Tribunal de Casablanca,,,societe-melb-62753, 3 000 000 
LES TERRASSES DU SOLEIL," realisation golf et projets de golf. etude et preparation de golf. gestion et exploitation pour son propre compte ou pour le compte de tiers de golfs, de clubs, de magasins professionnels (boutiques de produits de golf) et plus generalement de tous etablissements rattachees a l'activite du golf.promotion immobiliere et activites touristiques", 33 Bis Angle Moulay Youssef Et Rue Moussa Ibnou Noussair Quartier Gauthier,Casablanca,33.589365 : -7.629227,176745,Tribunal de Casablanca,1654022000012.0,,societe-les-terrasses-du-soleil-175144, 600 000 
TOTAL CALL, centre d'appels, Lotissement Attaoufik Lot Ndeg9 & 10 Imm << Le Shadow >> Sidi Maarouf,Casablanca,33.52482 : -7.65048,140379,Tribunal de Casablanca,211105000079.0,,societe-total-call-158487, 16 569 400 
SOSAMAC, commerce et distribution de materiaux de construction - transport de marchandises," Km 14 Route De Safi, Douar Ait Toumart",Harbil,31.796428 : -8.146031,21329,Tribunal de Marrakech,1527446000060.0,,societe-sosamac-165270, 5 900 000 
HUAWEI TECHNOLOGIES MOROCCO," la fabrication, le developpement, l'importation, l'exportation, l'achat, la vente, la distribution, la reparation, la conversion, l'installation, la maintenance de materiel electrique lie a l'alimentation d'energie solaire, conversion de l'energie solaire et autres produits lies, notamment au developpement des affaires, ventes et services apres-vente et les equipements de maintenance pertinents, le service de conseil technique, les operations d'importations et d'exportations ; suivre les dernieres realisations dans l'industrie de l'information et des communications dans le monde, developper, fabriquer et vendre des produits informatiques, en se basant sur la gestion scientifique et un mecanisme d'exploitation, exploiter les marches de communication et informatiques locaux et etrangere ; poursuivre le developpement et l'exploration, essayer le meilleur moyen pour rendre l'entreprise l'une des meilleures entreprises dans ce commerce. portee des affaires : developpement, usinage, vente ; installation, maintenance des systemes de commutation controles par des programmes, equipements de transmission, communications de donnees, equipements multimedia a large bande, equipement d'alimentation, equipements de communications sans fil, produits micro - electriques, ingenierie d'integration du systeme, ordinateurs et peripheriques, equipements terminaux et equipements de communications appropriees, ainsi que la consultation, service et agence et location concernant ces produits et equipements, import et export des produits de communication et informatique, equipements et accessoires, la portee des affaires en tant que domaine approuve par e registrer doit prevaloir, si un conflit quelconque surgit. la prise, l'acquisition, l'exploitation ou la cession de tous procedes et brevets concernant ces activites. la participation directe ou indirecte de la societe dans toutes operations financieres, immobilieres ou mobilieres et dans toutes entreprises commerciales ou industrielles pouvant se rattacher a l'objet social ou a tout objet similaire ou connexe"," Hay Riad Rue Al Bortoukal, Residence << Sun City >>, Immeuble D, 4eme Etage",Rabat,34.015049 : -6.832719999999995,65587,Tribunal de Rabat,1525948000057.0,,societe-huawei-technologies-morocco-185837, 8 000 000 
LA ROUTE DU NORD (L.R.N), travaux d'assainissement et de terrassements,,,33.58694440000001 : -7.6111111000000164,109003,Tribunal de Casablanca,1733847000077.0,,societe-la-route-du-nord-118430, 32 000 000 
INGENIERIE DES TELECOMMUNICATIONS (INTELCOM), ingenierie - etudes techniques - conseil en systemes informatiques,,,33.929956 : -6.91434,28383,Tribunal de Rabat,1524003000095.0,,societe-ingenierie-des-telecommunications-14229, 60 000 000 
STE NOUVELLE DES MOULINS LAHBABI FES, minoterie & meuneries (couscous et semoules),,,34.043379 : -5.024152,15671,Tribunal de Fes,1549055000072.0,,societe-ste-nouvelle-des-moulins-lahbabi-fes-26463, 13 000 000 
SYNTHEMEDIC, laboratoire pour industrie pharmaceutique,,,33.60001 : -7.58067,58645,Tribunal de Casablanca,1525892000017.0,,societe-synthemedic-48017, 50 000 000 
