Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,RC,Tribunal,ICE,Forme Juridique,URL,Capital
INETUM MAROC, import export - commerce de gros de materiel informatique - nouvelle technologie informatique : materiels et logiciels, Parc Casanearshore Shore 28 Plateaux 001 002 301 401 701 Bd Al Qods Sidi Maarouf,Casablanca,33.58694440000001 : -7.6111111000000164,50877.0,Tribunal de Casablanca,230911000078.0,Societe Anonyme,societe-inetum-maroc-52918, 5 100 000 
EXCELLENCE IMMO VI," la promotion immobiliere sur tout le territoire marocain - l'acquisition en zone d'agadir d'une parcelle de terrain d'une superficie de 47450 metres canes a distraire par voie de morcellement du titre mere numero 3050/c a l'effet d'y realiser un projet immobilier - les operations de lotissement, de morcellement, la construction en vue de la revente ou de la location de tous immeubles destines a l'habitation ou aux activites commerciales ou industrielles ; - l'acquisition de tous terrains urbains ou agricoles, notamment le terrain sis a agadir, - l'importation et la commercialisation de tous produits et articles se rapportant directement ou indirectement a l'activite du batiment et de la construction ; - toutes operations d'intermediation, de courtage et de commission relatives a l'objet sociale ; - la participation dans toutes operations commerciales, industrielles, agricoles soit directement ou indirectement par voie de creation de societes nouvelles d'apports, commandites, souscription ou achats de titre sociaux, fusion alliances ; - et plus generalement, toutes operations mobilieres, immobilieres, commerciales, industrielles et financieres, pouvant se rattacher directement ou indirectement a l'objet social sus - indique ou a tous autres objets similaires ou connexes susceptibles de favoriser le developpement de la societe."," 201, Boulevard Zerktouni 1er Etage",Casablanca,33.58694440000001 : -7.6111111000000164,281979.0,Tribunal de Casablanca,1512883000023.0,Societe a Responsabilite Limitee,societe-excellence-immo-vi-367331, 1 000 000 
GURMA TRANSPORT, marchand de carburants en gros, Ndeg10 Rue 1610 Hay Saada Edchira,Inezgane (M),30.3658333 : -9.538055600000007,19349.0,Tribunal de Inzegane,2360164000013.0,Societe a Responsabilite Limitee a Associe Unique,societe-gurma-transport-910839, 100 000 
STE NASSIM EL GHAREB, entrepreneur de travaux rivers ou construction, Arsat Sala N 459 Route De Mehdia,Sale,34.033333 : -6.8,24323.0,Tribunal de Sale,413304000060.0,Societe a Responsabilite Limitee,societe-ste-nassim-el-ghareb-455611, 1 000 000 
MOBILE UP, marchand d'accessoires de telephone (services telecom)," 14, Rue Des Papillons Quartier Oasis",Casablanca,33.58694440000001 : -7.6111111000000164,339861.0,Tribunal de Casablanca,324641000001.0,Societe a Responsabilite Limitee,societe-mobile-up-455491, 5 000 000 
SORAYA LAND, promotion immobiliere," Residence Saad 2, Immeuble 3, Appartement 15, Harhoura",Temara (M),33.934483 : -6.943328,71369.0,Tribunal de Rabat,1509283000029.0,Societe a Responsabilite Limitee a Associe Unique,societe-soraya-land-310660, 5 000 000 
UNITED REEFERS MAROC (UNIREEF), transport maritime - transit, 12 Rue Jilali Al Ouraibi 2 Et 4eme Etage,Casablanca,33.59673 : -7.61523,116745.0,Tribunal de Casablanca,1535743000014.0,Societe a Responsabilite Limitee,societe-united-reefers-maroc-127629, 6 000 000 
LIBRAIRIE PAPETERIE DES ECOLES A.MOYNIER ET CIE, imprimerie papeterie librairie editions," 12, Avenue Hassan Ii",Casablanca,33.59419 : -7.61833,10747.0,Tribunal de Casablanca,203350000041.0,Societe Anonyme,societe-librairie-papeterie-des-ecoles-a-moynier-et-cie-70594, 2 000 000 
SOCIETE DE CONSTRUCTION TERHZAZ (COTER ), travaux de batiments et genie civil, 3 Rue Chellal Ouzoud 461 Agdal,Agdal Riyad (AR),34.015049 : -6.832719999999995,46375.0,Tribunal de Rabat,1536429000019.0,Societe a Responsabilite Limitee,societe-societe-de-construction-terhzaz-81886, 35 000 000 
NATUREX MAROC, extraction de plantes naturelles - extraction huiles essentielles, Technopole Onda Aeroport Mohamed V Nouasseur 26200- Bp 42,Nouaceur (M),33.371898 : -7.543865,96351.0,Tribunal de Casablanca,1532073000067.0,Societe Anonyme,societe-naturex-maroc-99164, 24 640 100 
