Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,Numero RC,Tribunal,ICE,Forme Juridique,Capital
LE COMPTOIR DU PARC, cafe milk bar restaurant, Rue Oued Zem Residence Adnane Ii Rez De Chaussee N 2,Mohammedia,33.705608 : -7.395189, 4331,Tribunal de Mohammedia, 000219294000039,Societe a Responsabilite Limitee, 100 000 
FRANCO MAROCAINE D'ENTREPRISE ET DE CONSTRUCTIONS (STE) (SOCO)," l'entreprise de travaux publics et particuliers, l'industrie du batiment en general, achat, vente, exploitation par voix location ou autremement", 20 Rue Des Pleiades,Casablanca,33.58694440000001 : -7.6111111000000164, 29285,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 10 000 
KAELINE COSMETIQUE MAROC," fabricant ou md de produits chimiques (production et distribution de produits cosmetiques), md effectuant l'import-export"," 208 Bureau Ndeg4 2eme Etage, Sidi Ghanem, Route De Safi",Sidi Ghanem,31.199238 : -8.7949, 23309,Tribunal de Marrakech,,Societe a Responsabilite Limitee, 100 000 
LEZAR GENERAL BUILDING SOCIETY (LGBS)," entrepreneur de travaux divers, construction, negociant", Avenue Mohamed Slaoui Residence Assalam Cinquieme Etage N 38 Bis,Fes,34.041313 : -4.986159, 22451,Tribunal de Fes, 000099336000075,Societe a Responsabilite Limitee, 1 000 000 
JOGREX (STE), import-export, Bd Chouhada Lot Rahmani N10,Oujda-Angad,34.67024 : -1.911827, 15285,Tribunal de Oujda,,Societe a Responsabilite Limitee, 10 000 
ORIENTALE DE RORAGE (STE MAROCAINE DE) (SMOF)," toutes operations commerciales, industrielles, mobilieres, immobilieres et financieres qui pourraient se rattacher a l'objet de la societe", Dar Kebdan N18,Nador,35.125094 : -3.333675, 2871,Tribunal de Nador,,Societe a Responsabilite Limitee, 100 000 
SHELTER (LE), exploitation de fonds de commerce toutes operations mobil immobiliers et commerciles, 106 Rue De L'horloge,Casablanca,33.58694440000001 : -7.6111111000000164, 22301,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 11 000 
ROCHD (IMMOBILIERE)," l'achat, la vente et la mise en valeur de tous bien et droits immobilier", 32 Rue Omar Idrissi,Casablanca,33.58198 : -7.60652, 57805,Tribunal de Casablanca,,Societe Anonyme, 20 000 
ATLANTIQUE (OMNIUM)," consignation, commerce tous produits et marchandises, exploitation d'agences, achat, vente, etude, acquisition, apport etc...", 38 Rue Gallieni,Casablanca,33.58694440000001 : -7.6111111000000164, 6023,Tribunal de Casablanca,,Societe Anonyme, 50 000 
TSFM, marchand de lait en gros, Douar Boulaouane Kiadate Seksaoua,Imintanoute (M),31.54377 : -8.76602600000001, 19437,Tribunal de Marrakech, 000071101000097,Societe a Responsabilite Limitee a Associe Unique, 100 000 
HELIOS EMBALLAGES, fabrication et distribution d'emballage et accessoires de toute nature pour l'agriculture, Rp 40 Km 13 Commune De Tikiouine Bp 472,Inezgane- Ait Melloul,30.341987 : -9.502322, 373,Tribunal de Inzegane,,Societe Anonyme, 3 000 000 
SOUISSI BUGUET ET CIE (ETS INDUSTRIELS FRIGORIFIQUES DE), fabrique de glace boissons gazeux et sirops moutures indigenes, Souissi Banlieu,Rabat,34.015049 : -6.832719999999995, 3462,Tribunal de Rabat,,Societe a Responsabilite Limitee, 210 000 
SANTORINI PERE ET FILS (ETS), garage articles de chasse de peche et de sport, Route De Rabat,Khemisset,33.833178 : -6.076887, 17329,Tribunal de Rabat,,Societe a Responsabilite Limitee, 10 000 
MAROC (BANQUE COMMERCIALE DU), banque, Rue Des Consuls,Fes,34.033333 : -5, 644,Tribunal de Rabat,,Societe Anonyme, 50 000 
TETEKNA (TETEKNA)," construction de tout corps d'etat, commerce generale, equipements generaux, creusement et forage", Centre De Boujdour,Boujdour,26.125849 : -14.485291, 855,Tribunal de Laayoune,,Societe Anonyme, 1 000 000 
LA KASBA D'IDIS, restauration hotellerie, Ait Youl Boumalne Dades,Ouarzazate,31.3747 : -5.992163, 2107,Tribunal de Ouarzazate,,Societe a Responsabilite Limitee, 100 000 
UNIVERS WEB, reparation et maintenance des ordinateurs service internet achat et vente des ordinateurs, N 15 Imm Ouahmane 3eme Etage Pergola Dcheira,Inezgane- Ait Melloul,30.373475 : -9.549603, 1289,Tribunal de Inzegane,,Societe en Nom Collectif, 40 000 
POYTEX, broderie et vente de materiel de confection, Douar El Idrissi Aouinat El Hajjaj Sidi Brahim,Fes,34.0207074284 : -4.96660937304, 24183,Tribunal de Fes,,Societe a Responsabilite Limitee, 100 000 
SIVAR (STE) (SIVAR), commerce general de toutes marchandises et matieres premieres, 53 Rue Jean Jaures,Casablanca,33.589202 : -7.626679, 11101,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 1 000 
MAROCO ITALIENNE MINERAIS DE TAFRAOUT (SMIMTAF ), recherche et exploitation miniere, 31 Avenue Imam El Boukhari,Agadir (M),30.37291 : -9.54222, 22811,Tribunal de Agadir,,Societe Anonyme, 300 000 
MAROCAINE (DIFFUSION DE LIVRE), diffusion de livres importation, 59 Rue Bugeaud,Casablanca,33.58738 : -7.61838, 39767,Tribunal de Casablanca,,Societe Anonyme, 10 000 
ALGERIEN CONSULTING, communication et publicite.," 57, Rue Abou Salt Andaloussi, Maarif",El Maarif (AR),33.58239 : -7.63286, 162501,Tribunal de Casablanca, 000214786000020,Societe a Responsabilite Limitee a Associe Unique, 10 000 
