Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,Numero RC,Tribunal,ICE,Forme Juridique,Capital
Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,Numero RC,Tribunal,ICE,Forme Juridique,Capital
ORNELLA (ORNELLA), la confection de tous vetements d'hommes de femmes ou d'enfants en matieres textiles ou en cuir..., Rue I N10 Lotissement El Mers Hay El Oulfa,Casablanca,33.55015 : -7.574055, 50155,Tribunal de Casablanca, 001514513000051,Societe Anonyme, 200 000 
PYROCARBONE (STE ANONYME), toutes operations commerciales industrielles mobilieres immobilieres et financieres se rattachant direct ou indirect a l'objet, 12 Avenue Dar El Maghzen,Rabat,34.020719 : -6.837326, 12620,Tribunal de Rabat,,Societe Anonyme, 2 000 000 
SOCOF (STE) (SOCOF), confection, 13 Rue De Pelvoux Maarif,Casablanca,33.58028 : -7.635305, 36511,Tribunal de Casablanca,,Societe Anonyme, 1 000 000 
BARSAL (TRANSPORT), transport de marchandises, 26 Rue Peronne,Casablanca,33.596045 : -7.589534, 88873,Tribunal de Casablanca, 000528795000062,Societe a Responsabilite Limitee, 100 000 
SOCIETE D'EQUIPEMENT ET CONSTRUCTION EL AHMADI ET MADRASSI, travaux de construction vente de tous materiaux de construction, 6 Rue Baamrane Sidi Belyout,Casablanca,33.59483 : -7.60044, 133941,Tribunal de Casablanca, 001541655000052,Societe a Responsabilite Limitee a Associe Unique, 100 000 
CEDRE D'AZROU, menuiserie, Syba 4 N22bis Rue Amizmiz,Marrakech,31.60852 : -7.9717, 11383,Tribunal de Marrakech, 001801105000048,Societe a Responsabilite Limitee, 100 000 
LOYAL LOCATION, loueur de vehicules automobiles, Avenue Mohamed V N427,Kenitra,34.279352 : -6.544314, 26037,Tribunal de Kenitra,,Societe a Responsabilite Limitee, 100 000 
GENERALE DES COLLES ET PRODUITS CHIMIQUES (GEPROC), fabricant de produits chimiques vendant en gros, 5 Rue D'artois,Casablanca,33.58694440000001 : -7.6111111000000164, 46787,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000 
COMPETITIF TEXTILE," la confection de chemiserie, bonneterie et lingerie", 214 Bd Abdellah Ben Yacine,Casablanca,33.58993 : -7.5965, 49967,Tribunal de Casablanca,,Societe Anonyme, 1 000 000 
COMPTOIR MIDI FAC, commercialisation de materiel et produit de construction, Av Abi Houraira Rue Zaire N7,Fes,34.01777 : -4.98728, 19963,Tribunal de Fes,,Societe a Responsabilite Limitee, 100 000 
SANS FRERES, vente en gros demi-gros et detail de tous les articles textiles confectionnes ou pas commerce de tous articles bruts en manufactures, 111 Av Du General Drude,Casablanca,33.593265 : -7.61261, 15933,Tribunal de Casablanca,,Societe Anonyme, 1 100 000 
GROUPE ESPAGNOL POUR LE MATERIEL ELECTRIQUE," prospection de nouveaux marches et fabrication, vente, commercialisation importation, exportation de tout type de produits electriques, electronique telecom ict au marche marocain"," 14 Bd Zerktouni, 9eme Etage Ndeg18",Casablanca,33.58694440000001 : -7.6111111000000164, 168433,Tribunal de Casablanca, 000159570000059,Societe a Responsabilite Limitee, 40 000 
ATTARFIH, 1/ tenant un salon de the 2/ traiteur et snack, Immeuble Dar Salam N 26 Boulevard De Akrach.,Rabat,33.994061 : -6.806792, 40471,Tribunal de Rabat, 001661520000005,Societe a Responsabilite Limitee a Associe Unique, 100 000 
ETUDES ET DE REALISATIONS DE TRAVAUX D'EQUIPEMENT (STE D') (SERTEQ)," fabrication, montage, pose, installation, preparation, entretien, achat, vente ferme ou a la commission, location, divers materiels d'equipement", 17 Rue De L'atlas,Casablanca,33.58294 : -7.63234, 36243,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 20 100 
SEMLALI, la promotion immobiliere, 78 Rue De Fes,Tanger-Assilah,35.74676 : -5.80658, 9649,Tribunal de Tanger,,Societe Anonyme, 10 000 
NASR DE L'ORIENTAL (LES BOULANGERIES), exploitant de boulangerie par procedes mecanique, Rue Mostafa Kamal N6,Oujda-Angad,34.677941 : -1.911003, 14957,Tribunal de Oujda, 001626877000092,Societe a Responsabilite Limitee, 200 000 
BILAD (STE IMPRIMERIE PAPETERIE AL), editeur de journaux et priodiques imprimeur typographe, Rue Oslo N15,Rabat,34.024925 : -6.84504, 40669,Tribunal de Rabat,,Societe Anonyme, 780 000 
TANGER (STE NOUVELLE DE CREDIT MOBILIER DE)," exploitation de prets sur gages, nantissement", 17 Bd Pasteur,Tanger-Assilah,35.78028 : -5.81034, 1413,Tribunal de Tanger,,Societe Anonyme, 12 000 
CONTACT VISION, exploitant de machines pour le tirage des dessins import export, Km 21 Route D'el Jadida,Settat,33.005873 : -7.616728, 873,Tribunal de Berrechid, 001456252000049,Societe a Responsabilite Limitee, 100 000 
POLYCLINIQUE CORNETTE DE SAINT CYR, exploitation de toutes maison chinurgicales.," 22, Esplanade Du Docteur Giguet, (vn)",Meknes (M),33.904116 : -5.551915, 17555,Tribunal de Meknes,,Societe Anonyme, 3 400 000 
